156,154,152
156,155,151
158,155,152
159,157,152
161,160,154
162,161,156
163,160,151
163,161,152
163,161,156
163,162,158
164,159,152
165,161,155
165,163,161
166,163,151
166,163,157
166,165,157
167,165,152
167,165,160
167,166,153
168,157,152
168,158,151
168,162,156
168,165,159
168,166,163
169,163,152
169,166,155
170,161,154
170,162,151
170,164,156
170,166,163
170,168,164
170,169,163
171,165,155
171,168,152
171,168,153
171,168,156
171,169,156
172,159,152
172,166,158
172,167,153
172,167,154
172,170,152
173,166,155
173,170,158
173,170,160
173,171,164
173,171,167
173,172,153
173,172,159
173,172,162
173,172,165
174,163,158
174,166,155
174,168,153
174,168,159
174,170,166
174,171,159
174,172,153
174,173,161
175,161,153
175,167,151
175,173,157
175,174,155
176,163,151
176,169,154
176,170,157
176,173,156
176,173,165
176,174,163
176,174,167
176,175,168
176,175,170
177,161,152
177,163,155
177,165,161
177,170,159
177,172,152
177,173,157
177,173,162
177,174,159
177,174,166
177,175,164
178,165,157
178,168,161
178,171,157
178,173,157
178,174,164
178,175,170
178,176,167
178,177,158
179,167,151
179,167,160
179,170,157
179,171,154
179,172,154
179,175,165
179,176,159
179,177,166
179,178,156
179,178,164
180,165,157
180,167,153
180,171,153
180,173,167
180,174,155
180,175,155
180,175,163
180,177,167
180,178,166
180,178,169
180,179,157
180,179,170
181,168,153
181,170,154
181,172,159
181,175,162
181,175,164
181,176,158
181,178,158
181,179,168
181,179,174
182,170,161
182,171,153
182,173,157
182,173,161
182,174,152
182,176,157
182,177,164
182,179,167
182,179,174
182,180,168
182,181,171
183,158,151
183,167,151
183,170,151
183,172,154
183,172,155
183,176,154
183,177,160
183,177,163
183,179,160
183,181,167
183,181,169
183,181,176
184,170,162
184,171,151
184,171,157
184,174,157
184,175,162
184,177,152
184,177,163
184,179,161
184,181,169
184,181,175
184,182,164
184,182,170
184,182,171
184,183,154
184,183,159
184,183,165
184,183,174
185,172,152
185,175,160
185,177,165
185,178,160
185,180,158
185,180,159
185,182,174
185,184,171
186,171,163
186,172,153
186,173,155
186,173,165
186,178,154
186,180,169
186,181,169
186,183,171
186,183,177
186,184,174
186,185,167
187,175,168
187,177,170
187,181,156
187,181,169
187,182,177
187,183,167
187,184,170
187,184,173
187,185,172
187,185,173
188,173,155
188,175,155
188,180,161
188,181,159
188,181,166
188,182,173
188,183,167
188,186,181
188,187,180
189,170,152
189,173,154
189,174,160
189,176,161
189,178,172
189,182,160
189,184,160
189,185,155
189,185,171
189,186,167
189,186,174
189,187,175
189,187,181
189,188,174
189,188,179
190,165,152
190,176,154
190,178,158
190,182,167
190,183,169
190,184,174
190,186,179
190,187,182
190,189,168
191,176,161
191,176,167
191,177,169
191,180,164
191,182,155
191,183,164
191,187,176
191,189,162
191,190,161
191,190,184
192,172,155
192,174,155
192,178,157
192,181,155
192,183,162
192,184,165
192,185,172
192,186,167
192,186,174
192,187,170
192,188,172
192,188,177
192,189,176
192,190,173
192,190,184
192,191,177
192,191,181
193,174,152
193,175,151
193,175,162
193,178,170
193,180,154
193,181,162
193,182,163
193,183,176
193,187,163
193,188,175
193,188,176
193,188,177
193,189,174
193,190,169
193,190,181
194,174,166
194,176,157
194,178,157
194,179,156
194,180,157
194,180,160
194,180,162
194,182,165
194,184,161
194,184,167
194,185,167
194,188,181
194,189,168
194,190,181
194,193,174
195,176,157
195,178,152
195,182,159
195,182,164
195,187,168
195,187,175
195,188,166
195,189,155
195,189,176
195,189,178
195,193,180
195,193,188
195,194,180
196,166,152
196,176,159
196,176,173
196,178,157
196,180,157
196,181,172
196,182,166
196,183,164
196,184,151
196,185,172
196,188,162
196,189,170
196,189,172
196,190,169
196,191,177
196,191,179
196,192,181
196,193,160
196,195,182
197,174,155
197,179,166
197,181,164
197,182,153
197,182,162
197,185,173
197,189,171
197,190,167
197,190,173
197,193,184
197,194,181
197,195,166
197,196,186
197,196,187
197,196,192
198,185,166
198,185,170
198,188,167
198,189,178
198,191,171
198,193,173
198,193,182
198,194,182
198,195,181
198,196,176
198,197,179
198,197,180
198,197,185
199,174,154
199,177,165
199,179,160
199,180,157
199,181,155
199,183,159
199,183,162
199,184,153
199,184,162
199,185,174
199,186,156
199,186,162
199,186,165
199,188,172
199,189,176
199,189,180
199,190,163
199,191,158
199,191,175
199,192,156
199,192,171
199,192,180
199,196,176
199,197,185
199,197,190
199,197,192
